scenario,year,week,hour,branch,value
DE,2050,21,73,35,-3761.2921979444836
DE,2050,21,74,35,-4990.1999171009165
DE,2050,21,75,35,-5906.36044799457
DE,2050,21,76,35,-7380.396298895172
DE,2050,21,77,35,-11221.873583917279
DE,2050,21,78,35,-15059.48895148836
DE,2050,21,79,35,-2170.416505249119
DE,2050,21,80,35,2945.6644569663276
DE,2050,21,81,35,4504.315657232143
DE,2050,21,82,35,1909.6107166825404
DE,2050,21,83,35,4187.727915040297
DE,2050,21,84,35,6842.171194131479
DE,2050,21,85,35,3408.653106718798
DE,2050,21,86,35,-518.0128052528734
DE,2050,21,87,35,-1811.6426011521728
DE,2050,21,88,35,-3338.92572519662
DE,2050,21,89,35,-3869.66804710767
DE,2050,21,90,35,-3580.5697100402253
DE,2050,21,91,35,-8925.720597048492
DE,2050,21,92,35,-8726.13556046406
DE,2050,21,93,35,-7557.436740172718
DE,2050,21,94,35,-10930.811322493164
DE,2050,21,95,35,-8612.538530280952
DE,2050,21,96,35,-8114.682350698316
DE,2050,21,97,35,-9168.137252006247
DE,2050,21,98,35,-10181.077910734688
DE,2050,21,99,35,-10694.413309654416
DE,2050,21,100,35,-13897.083112899118
DE,2050,21,101,35,-13345.265853068826
DE,2050,21,102,35,-15059.48895148836
DE,2050,21,103,35,-7228.6297116618325
DE,2050,21,104,35,1974.7988712987387
DE,2050,21,105,35,1312.3834481765227
DE,2050,21,106,35,877.2921285865572
DE,2050,21,107,35,1187.6009772947464
DE,2050,21,108,35,8719.885601674614
DE,2050,21,109,35,7368.720754051457
DE,2050,21,110,35,797.5835985779386
DE,2050,21,111,35,-2189.944063609448
DE,2050,21,112,35,-3054.0421180114395
DE,2050,21,113,35,-3152.23700981619
DE,2050,21,114,35,-10417.722187326117
DE,2050,21,115,35,-13672.41903229484
DE,2050,21,116,35,-13787.99651191602
DE,2050,21,117,35,-15059.48895148836
DE,2050,21,118,35,-15059.48895148836
DE,2050,21,119,35,-10837.170551752482
DE,2050,21,120,35,-11127.977890111677
DE,2050,21,121,35,-12605.458855500026
DE,2050,21,122,35,-11005.9616616321
DE,2050,21,123,35,-13688.062101471687
DE,2050,21,124,35,-10470.29159038942
DE,2050,21,125,35,-10009.383320743562
DE,2050,21,126,35,-10631.479853286497
DE,2050,21,127,35,-4915.4001295996695
DE,2050,21,128,35,1029.584146904702
DE,2050,21,129,35,712.5677236586133
DE,2050,21,130,35,3040.9420163638074
DE,2050,21,131,35,4016.4070368724297
DE,2050,21,132,35,1541.5749470504315
DE,2050,21,133,35,13508.35401113641
DE,2050,21,134,35,1815.7873990901212
DE,2050,21,135,35,1533.8243606084834
DE,2050,21,136,35,-4418.9962593660075
DE,2050,21,137,35,-4154.877966140333
DE,2050,21,138,35,-12442.859781427138
DE,2050,21,139,35,-14074.492817337192
DE,2050,21,140,35,-14004.994937110821
DE,2050,21,141,35,-12562.15616453927
DE,2050,21,142,35,-11257.099820698064
DE,2050,21,143,35,-12766.581429127642
DE,2050,21,144,35,-14281.693725825735
DE,2050,21,145,35,-12733.257520068268
DE,2050,21,146,35,-13091.82765218563
DE,2050,21,147,35,-13292.323496105777
DE,2050,21,148,35,-13661.769107325525
DE,2050,21,149,35,-13714.728488670995
DE,2050,21,150,35,-14311.021599911737
DE,2050,21,151,35,-10232.61422790938
DE,2050,21,152,35,-3407.5466841846387
DE,2050,21,153,35,561.0328668801558
DE,2050,21,154,35,5608.856799343168
DE,2050,21,155,35,7376.129167935571
DE,2050,21,156,35,1833.8240601853859
DE,2050,21,157,35,5209.413348981216
DE,2050,21,158,35,-1861.7953713607153
DE,2050,21,159,35,-4918.712772758921
DE,2050,21,160,35,-11546.849317910437
DE,2050,21,161,35,-12095.251617980286
DE,2050,21,162,35,-15059.48895148836
DE,2050,21,163,35,-15059.48895148836
DE,2050,21,164,35,-15059.48895148836
DE,2050,21,165,35,-15059.48895148836
DE,2050,21,166,35,-15059.48895148836
DE,2050,21,167,35,-15059.48895148836
DE,2050,32,0,35,-15059.48895148836
DE,2050,32,1,35,-11394.758688799655
DE,2050,32,2,35,-10649.957463615094
DE,2050,32,3,35,-10080.670647265211
DE,2050,32,4,35,-9582.779352617154
