snapshot,ES1 0 offwind-ac,ES1 0 onwind,ES1 0 solar,ES1 1 offwind-ac,ES1 1 onwind,ES1 1 solar,ES1 2 offwind-ac,ES1 2 onwind,ES1 2 ror,ES1 2 solar,ES1 3 offwind-ac,ES1 3 onwind,ES1 3 solar,ES1 4 offwind-ac,ES1 4 onwind,ES1 4 solar,ES1 5 onwind,ES1 5 solar,ES1 6 offwind-ac,ES1 6 onwind,ES1 6 solar,ES1 7 onwind,ES1 7 solar,ES1 8 offwind-ac,ES1 8 onwind,ES1 8 ror,ES1 8 solar,PT1 0 offwind-ac,PT1 0 onwind,PT1 0 ror,PT1 0 solar,PT1 1 offwind-ac,PT1 1 onwind,PT1 1 ror,PT1 1 solar,ES1 3 CCGT,ES1 8 CCGT,ES1 2 CCGT,ES1 1 coal,ES1 7 CCGT,ES1 4 coal,ES1 4 CCGT,ES1 5 CCGT,PT1 0 CCGT,ES1 1 CCGT,ES1 0 CCGT,ES1 6 CCGT,ES1 3 coal,PT1 1 CCGT,ES1 0 coal,ES1 2 coal
2013-11-21 15:00:00,0.5033936950131501,0.5816356171462023,0.2846312143018187,0.8270694832949844,0.4739617911127285,0.1063382594394806,0.48986685693746196,0.7542100548797994,0.16215784608279774,0.15923096370614878,0.2761775063650143,0.23707192755921985,0.27477385155718054,0.1912052490833489,0.3402855075316803,0.12490350864162679,0.554923765154177,0.25536390454367297,0.6649149406259477,0.8070976725501171,0.25554653872994687,0.37825481010906553,0.2546392088731366,0.5944458929019082,0.6743767990129323,0.16215784608279774,0.18558245977253005,0.060910581644387285,0.17252377012682216,0.03851673696708091,0.13880432776473917,0.07447858339333262,0.10022526706621036,0.03851673696708091,0.21385482578247658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 16:00:00,0.46849986332914906,0.43927019068883066,0.06463062431742243,0.8527180869203261,0.4514382027015843,0.018757191313821125,0.3854649500871116,0.667012227063169,0.16311297602406308,0.02003109180866203,0.26861651225627103,0.2156649787658952,0.09197346452532659,0.15077628542277782,0.22518100255852208,0.0355271959772815,0.46884143705698084,0.05470159251375657,0.6186986367204196,0.63398402184583,0.03930837111077699,0.3298134852852266,0.08498989385607629,0.6244952672057289,0.667395127687606,0.16311297602406308,0.008790463921737119,0.034420373632983316,0.1085866420999099,0.0385711257014793,0.05890157827052274,0.08283477045939856,0.09210058336272137,0.0385711257014793,0.08595752308772284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 17:00:00,0.47625965161135286,0.4617730441319279,0.0,0.8545541391112215,0.43806959921203686,0.0,0.3048759570236925,0.5738855777549599,0.1638980753572568,0.0,0.2852101772451522,0.20623329340802626,0.0,0.13125139835440197,0.17021436328451936,0.0,0.48585960554959645,0.0,0.5914534099533629,0.5882419606033334,0.0,0.31831396298877485,0.0,0.6125476718431028,0.6364625043700228,0.1638980753572568,0.0,0.023295113472495813,0.09279904468745831,0.03859909870709308,0.0,0.11123030881156093,0.08557471462311918,0.03859909870709308,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 18:00:00,0.47210406957220014,0.4400238734531671,0.0,0.8632541744009309,0.43115520020529274,0.0,0.24056404468376036,0.5462056896558615,0.16461418536474826,0.0,0.32030394729586315,0.2231879380114858,0.0,0.10884265206494319,0.13225172685874922,0.0,0.49112203679183153,0.0,0.616692849446026,0.59506404557022,0.0,0.29985595927796693,0.0,0.5656544945082357,0.5957436434473341,0.16461418536474828,0.0,0.009201130364811181,0.08451919122581528,0.0386265458738768,0.0,0.08351267371502047,0.06456254121515034,0.0386265458738768,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 19:00:00,0.5069877769854099,0.4534514070110803,0.0,0.8688013141789401,0.4274278678157275,0.0,0.19916261850829853,0.5592583636593701,0.16561738292369618,0.0,0.31380694845734664,0.23471259540436779,0.0,0.09146003101184115,0.10747489678107468,0.0,0.4889105478609211,0.0,0.6592673991284692,0.6325223908491733,0.0,0.3018640025814511,0.0,0.5275104080596478,0.5422893926640076,0.1656173829236962,0.0,0.00390792878271031,0.08239162183574388,0.03866390838888113,0.0,0.05401668630674607,0.042622642973162546,0.03866390838888113,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 20:00:00,0.5328741711662347,0.4848068037039467,0.0,0.8754726011530815,0.43228532129599934,0.0,0.21526873130224838,0.5637278835713766,0.1663741852313192,0.0,0.2590291949581106,0.21381316583531979,0.0,0.0790502545308944,0.08773637164459878,0.0,0.4827992455221678,0.0,0.6719409656709985,0.657617439750024,0.0,0.2943907152642171,0.0,0.49113303224513216,0.5290013878488654,0.1663741852313192,0.0,0.0029786869940985504,0.06608240755988849,0.03871384360106332,0.0,0.04593130998968619,0.0298954358162093,0.038713843601063315,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 21:00:00,0.5871231243962806,0.5405733101361033,0.0,0.8678751679844304,0.4358673188868264,0.0,0.2534661340115333,0.5991372414835997,0.16691958567765608,0.0,0.22769866631266805,0.18750907900192515,0.0,0.07245411322407058,0.07722155483285703,0.0,0.47125571730703786,0.0,0.6736724887876384,0.6967869282624801,0.0,0.2666125671747741,0.0,0.49882118910942075,0.5475593319295742,0.1669195856776561,0.0,0.0038391047620293006,0.04830401912243834,0.03876967711063846,0.0,0.0366222737649254,0.019910858649665308,0.03876967711063846,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 22:00:00,0.5890692772817416,0.447509391538418,0.0,0.8664407031186679,0.45528231449596407,0.0,0.3065068190984296,0.7065291777621602,0.16746918573009045,0.0,0.13313329953867933,0.10979640447979548,0.0,0.07116628418959077,0.06310841839389729,0.0,0.3423531546377775,0.0,0.6882166977819307,0.6245361926743925,0.0,0.18507475951753044,0.0,0.5728193341673977,0.586184376169304,0.16746918573009048,0.0,0.0,0.03165898886476823,0.03882122332053241,0.0,0.016451135053932184,0.007829012959495969,0.03882122332053241,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21 23:00:00,0.6475444824677453,0.46402078979212863,0.0,0.8070461614093561,0.45224188877533256,0.0,0.4696233679534742,0.7494788923567308,0.16771959613336124,0.0,0.15213524915060442,0.11538841960452044,0.0,0.057691832377380056,0.0522083409038593,0.0,0.3530175358820195,0.0,0.7104741814854266,0.6462686143132642,0.0,0.20407910523045059,0.0,0.5572594459664576,0.6202046255247532,0.16771959613336124,0.0,0.0,0.028956311911007476,0.038869362760321664,0.0,0.027802605198289556,0.011801098812891327,0.03886936276032166,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-22 00:00:00,0.6718992451131455,0.49356689020840605,0.0,0.589632687085548,0.4224281947663931,0.0,0.5822788909767154,0.8026148386508972,0.16781883127108793,0.0,0.10402957088994846,0.10371160717700514,0.0,0.04755126563359998,0.03896951682433729,0.0,0.36868962018871027,0.0,0.7073050721201459,0.6627851488903036,0.0,0.19690771923961356,0.0,0.5627447325126299,0.657493217266981,0.16781883127108793,0.0,0.0,0.020240557887785095,0.03892895516678201,0.0,0.04430087605641895,0.017466547793285696,0.038928955166782006,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
