year,week,hour,branch,value
2025,42,42,35,-3464.9406916426033
2025,42,43,35,-3954.7174063088974
2025,42,44,35,-4597.981406684413
2025,42,45,35,-5000.0
2025,42,46,35,-5000.0
2025,42,47,35,-4511.190312228578
2025,42,48,35,-3897.196839849573
2025,42,49,35,-3961.7980357912174
2025,42,50,35,-4370.004445002201
2025,42,51,35,-4915.398311394129
2025,42,52,35,-5000.0
2025,42,53,35,-5000.0
2025,42,54,35,-4584.456324984206
2025,42,55,35,-4096.521792028382
2025,42,56,35,-4371.227226818636
2025,42,57,35,-4616.33820320477
2025,42,58,35,-4334.714497556186
2025,42,59,35,-4613.89671104747
2025,42,60,35,-4377.047093421552
2025,42,61,35,-4090.345978627722
2025,42,62,35,-3967.962559566061
2025,42,63,35,-3728.6314276782673
2025,42,64,35,-3628.3429874244102
2025,42,65,35,-3143.3315273863914
2025,42,66,35,-2751.8375692382792
2025,42,67,35,-3565.1395472149816
2025,42,68,35,-4426.363158880701
2025,42,69,35,-5000.0
2025,42,70,35,-5000.0
2025,42,71,35,-5000.0
2025,42,72,35,-5000.0
2025,42,73,35,-5000.0
2025,42,74,35,-5000.0
2025,42,75,35,-5000.0
2025,42,76,35,-5000.0
2025,42,77,35,-4402.986886284308
2025,42,78,35,-3701.3538285909203
2025,42,79,35,-2926.67904419898
2025,42,80,35,-3047.953593383866
2025,42,81,35,-3133.8955432791604
2025,42,82,35,-3091.8050711715705
2025,42,83,35,-3454.361662283715
2025,42,84,35,-3413.687131602369
2025,42,85,35,-3315.629790868817
2025,42,86,35,-3077.8039956335
2025,42,87,35,-2864.6724992567206
2025,42,88,35,-2699.027356876582
2025,42,89,35,-2183.3486932712935
2025,42,90,35,-1634.4867363503017
2025,42,91,35,-2026.517198866837
2025,42,92,35,-2474.2253957680123
2025,42,93,35,-2990.455859188788
2025,42,94,35,-3428.978568029716
2025,42,95,35,-3816.0026598735267
2025,42,96,35,-4121.588715209748
2025,42,97,35,-4486.638860615255
2025,42,98,35,-5000.0
2025,42,99,35,-5000.0
2025,42,100,35,-5000.0
2025,42,101,35,-5000.0
2025,42,102,35,-5000.0
2025,42,103,35,-5000.0
2025,42,104,35,-5000.0
2025,42,105,35,-5000.0
2025,42,106,35,-5000.0
2025,42,107,35,-3027.349612400786
2025,42,108,35,-1726.6633153412238
2025,42,109,35,-1690.8272869029383
2025,42,110,35,-1974.6616462761003
2025,42,111,35,-2544.091621364115
2025,42,112,35,-5000.0
2025,42,113,35,-5000.0
2025,42,114,35,-5000.0
2025,42,115,35,-5000.0
2025,42,116,35,-5000.0
2025,42,117,35,-5000.0
2025,42,118,35,-5000.0
2025,42,119,35,-5000.0
2025,42,120,35,-5000.0
2025,42,121,35,-5000.0
2025,42,122,35,-3430.234003128786
2025,42,123,35,-2671.9139650871166
2025,42,124,35,-2999.630649513764
2025,42,125,35,-5000.0
2025,42,126,35,-5000.0
2025,42,127,35,-5000.0
2025,42,128,35,-5000.0
