scenario,year,week,hour,branch,value
mean,2025,32,65,96,124.58153810316556
mean,2025,32,66,96,2702.688830166347
mean,2025,32,67,96,2246.458868423431
mean,2025,32,68,96,2312.199140558795
mean,2025,32,69,96,2682.2785157051685
mean,2025,32,70,96,3621.528179866231
mean,2025,32,71,96,4424.776044816225
mean,2025,32,72,96,5215.579334043674
mean,2025,32,73,96,5481.354355805383
mean,2025,32,74,96,5426.214405569509
mean,2025,32,75,96,5687.743253999082
mean,2025,32,76,96,5461.779463869011
mean,2025,32,77,96,5428.762718621587
mean,2025,32,78,96,4022.1030551899726
mean,2025,32,79,96,3718.197670067634
mean,2025,32,80,96,5128.7973790146225
mean,2025,32,81,96,4236.866804133681
mean,2025,32,82,96,3837.3310908662543
mean,2025,32,83,96,3475.6873082778043
mean,2025,32,84,96,3107.13851488913
mean,2025,32,85,96,2917.4173342193403
mean,2025,32,86,96,3271.743438364584
mean,2025,32,87,96,3984.4543687784617
mean,2025,32,88,96,4859.085966864312
mean,2025,32,89,96,5919.561248792306
mean,2025,32,90,96,6942.54803765597
mean,2025,32,91,96,7475.644049776918
mean,2025,32,92,96,7416.02703706561
mean,2025,32,93,96,7051.376177133695
mean,2025,32,94,96,6301.672517309696
mean,2025,32,95,96,6293.134725872567
mean,2025,32,96,96,6136.989688320145
mean,2025,32,97,96,5950.367790491629
mean,2025,32,98,96,5889.8838647018965
mean,2025,32,99,96,5808.492586766643
mean,2025,32,100,96,5156.810720766882
mean,2025,32,101,96,4647.00073824336
mean,2025,32,102,96,3741.395409384727
mean,2025,32,103,96,4091.0880127425266
mean,2025,32,104,96,5501.420599567712
mean,2025,32,105,96,2611.7663398523887
mean,2025,32,106,96,3505.498126236961
mean,2025,32,107,96,3883.4073195801575
mean,2025,32,108,96,3609.671286566217
mean,2025,32,109,96,3563.652402734987
mean,2025,32,110,96,3833.1668311768626
mean,2025,32,111,96,3351.4982940596424
mean,2025,32,112,96,2546.7157507962147
mean,2025,32,113,96,4590.134231958522
mean,2025,32,114,96,5027.236468180673
mean,2025,32,115,96,5204.640854442399
mean,2025,32,116,96,6027.300012246666
mean,2025,32,117,96,6730.486539343523
mean,2025,32,118,96,6456.102968012405
mean,2025,32,119,96,5341.238528443368
mean,2025,32,120,96,5006.10964400144
mean,2025,32,121,96,5080.961667782946
mean,2025,32,122,96,5617.6306767907245
mean,2025,32,123,96,5881.881921486225
mean,2025,32,124,96,5985.612191079427
mean,2025,32,125,96,5735.138364543106
mean,2025,32,126,96,4847.060743983764
mean,2025,32,127,96,4836.002398621231
mean,2025,32,128,96,2374.391640560628
mean,2025,32,129,96,2945.7250794711463
mean,2025,32,130,96,3308.810260047558
mean,2025,32,131,96,3421.5255412317583
mean,2025,32,132,96,3187.4767892530476
mean,2025,32,133,96,3173.6708762723138
mean,2025,32,134,96,3485.8239268826474
mean,2025,32,135,96,3030.4893255295237
mean,2025,32,136,96,2720.980683849267
mean,2025,32,137,96,4502.121059471368
mean,2025,32,138,96,4212.974356222013
mean,2025,32,139,96,4043.1054933515043
