snapshot,88,89,90,91,92,93,95,96,97,99,100,101,102,103,104,105,106,107,219,100 new,101 new,102 new,103 new,104 new,105 new,106 new,107 new,219 new,88 new,89 new,90 new,91 new,92 new,93 new,95 new,96 new,97 new,99 new
2013-10-22 06:00:00,-2189.658630928575,211.17197732753903,-451.4189568572274,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,5329.866171485657,-1170.5841634713615,-12646.3957663834,7233.3486433130565,3095.2697651947774,-1910.7755734487073,-3396.205223481055,-3045.7633014732,-18787.320051259412,-3172.7706693046694,-1698.1026117405274,-6313.154839607532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 07:00:00,-2189.658630928575,272.45817437397454,-427.3636656218496,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,5364.808317093128,-1160.518574114114,-12646.3957663834,7365.716950789476,3601.619345875827,-1931.3085121811237,-3396.205223481055,-3205.67564775165,-18848.037084850108,-3172.7706693046694,-1698.1026117405274,-6636.631374524297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 08:00:00,-2189.658630928575,523.1124347381283,-519.4731256160285,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,5258.224154871354,-1184.033356285394,-12646.3957663834,7343.975634464572,4095.012506982718,-1915.1326524906144,-3396.205223481055,-3503.786732374996,-18712.345871797785,-3172.7706693046694,-1698.1026117405274,-6644.159110453467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 09:00:00,-2189.658630928575,659.2403451494483,-761.4347016987231,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,4832.069780604394,-1190.6480451525294,-12646.3957663834,8201.74689884837,3560.104582927742,-1980.361770516036,-3396.205223481055,-3191.384833791175,-19239.01484150638,-3172.7706693046694,-1698.1026117405274,-6674.464460022191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 10:00:00,-2189.658630928575,751.7159598347807,-1459.1386924541357,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,4591.624296523245,-1230.091381455808,-12646.3957663834,7792.49612246536,3964.915397982658,-1954.802366223652,-3396.205223481055,-3325.256419191928,-18710.619005472126,-3172.7706693046694,-1698.1026117405274,-6345.792484128266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 11:00:00,-2189.658630928575,835.0397064912204,-983.1614733662482,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,5336.789046160662,-1360.6688745252122,-12646.3957663834,6326.760863614785,5459.793758928247,-1631.5569725687528,-3396.205223481055,-4200.347752668338,-17560.031282674776,-3172.7706693046694,-1698.1026117405274,-6304.147006548326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 12:00:00,-2189.658630928575,889.1910118327214,-713.1386536600685,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,5439.196029677136,-1513.3891250956149,-12646.3957663834,5497.865536741858,6255.342961732021,-1293.0384125253204,-3396.205223481055,-4505.459504981845,-17076.33476088539,-3172.7706693046694,-1698.1026117405274,-6168.342405470632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 13:00:00,-2189.658630928575,847.9089912628197,-808.4711859350646,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,4841.888825542246,-1112.2932095999822,-12646.3957663834,5757.626611951953,5970.538813183716,-1202.8704935097885,-3396.205223481055,-3969.043896089639,-17432.254074145992,-3172.7706693046694,-1698.1026117405274,-6243.152764150783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 14:00:00,-2189.658630928575,711.9155169321612,-715.1006215273574,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,5425.69333223166,-1597.3244607357665,-12646.3957663834,5616.377158138319,5926.736437413211,-1276.6658061924281,-3396.205223481055,-4289.9822536783,-17255.28779715202,-3172.7706693046694,-1698.1026117405274,-6133.229235151868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22 15:00:00,-2189.658630928575,554.6047844034265,-675.9782043012092,-7775.522485338205,-1698.1026117405274,8267.078504526251,-5094.307835221583,5093.314326776857,-1505.1302816473217,-12646.3957663834,6378.445593795292,4965.387755295781,-1326.8061942901077,-3396.205223481055,-3638.7619766446824,-18010.46390672155,-3172.7706693046694,-1698.1026117405274,-6337.100488599944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
