year,week,hour,branch,bound,dual_value
2025,42,129,35,min,0.0
2025,42,129,35,max,0.0
2025,42,130,35,min,0.0
2025,42,130,35,max,0.0
2025,42,131,35,min,0.0
2025,42,131,35,max,0.0
2025,42,132,35,min,0.0
2025,42,132,35,max,0.0
2025,42,133,35,min,0.0
2025,42,133,35,max,0.0
2025,42,134,35,min,0.0
2025,42,134,35,max,0.0
2025,42,135,35,min,0.0
2025,42,135,35,max,0.0
2025,42,136,35,min,0.0
2025,42,136,35,max,0.0
2025,42,137,35,min,0.0
2025,42,137,35,max,0.0
2025,42,138,35,min,0.0
2025,42,138,35,max,0.0
2025,42,139,35,min,0.0
2025,42,139,35,max,0.0
2025,42,140,35,min,0.0
2025,42,140,35,max,0.0
2025,42,141,35,min,0.0
2025,42,141,35,max,0.0
2025,42,142,35,min,0.0
2025,42,142,35,max,0.0
2025,42,143,35,min,0.0
2025,42,143,35,max,0.0
2025,42,144,35,min,0.0
2025,42,144,35,max,0.0
2025,42,145,35,min,0.0
2025,42,145,35,max,0.0
2025,42,146,35,min,0.0
2025,42,146,35,max,0.0
2025,42,147,35,min,0.0
2025,42,147,35,max,0.0
2025,42,148,35,min,0.0
2025,42,148,35,max,0.0
2025,42,149,35,min,0.0
2025,42,149,35,max,0.0
2025,42,150,35,min,0.0
2025,42,150,35,max,0.0
2025,42,151,35,min,0.0
2025,42,151,35,max,0.0
2025,42,152,35,min,0.0
2025,42,152,35,max,0.0
2025,42,153,35,min,0.0
2025,42,153,35,max,0.0
2025,42,154,35,min,0.0
2025,42,154,35,max,0.0
2025,42,155,35,min,0.0
2025,42,155,35,max,0.0
2025,42,156,35,min,0.0
2025,42,156,35,max,0.0
2025,42,157,35,min,0.0
2025,42,157,35,max,0.0
2025,42,158,35,min,0.0
2025,42,158,35,max,0.0
2025,42,159,35,min,0.0
2025,42,159,35,max,0.0
2025,42,160,35,min,0.0
2025,42,160,35,max,0.0
2025,42,161,35,min,0.0
2025,42,161,35,max,0.0
2025,42,162,35,min,0.0
2025,42,162,35,max,0.0
2025,42,163,35,min,0.0
2025,42,163,35,max,0.0
2025,42,164,35,min,0.0
2025,42,164,35,max,0.0
2025,42,165,35,min,0.0
2025,42,165,35,max,0.0
2025,42,166,35,min,0.0
2025,42,166,35,max,0.0
2025,42,167,35,min,0.0
2025,42,167,35,max,0.0
2035,21,0,35,min,-0.0
2035,21,0,35,max,0.0
2035,21,1,35,min,-0.0
2035,21,1,35,max,0.0
2035,21,2,35,min,-0.0
2035,21,2,35,max,0.0
2035,21,3,35,min,-0.0
2035,21,3,35,max,0.0
2035,21,4,35,min,-0.0
2035,21,4,35,max,0.0
2035,21,5,35,min,-0.0
2035,21,5,35,max,0.0
2035,21,6,35,min,0.0
2035,21,6,35,max,0.0
2035,21,7,35,min,0.0
2035,21,7,35,max,0.0
2035,21,8,35,min,-0.0
2035,21,8,35,max,0.0
2035,21,9,35,min,-0.0
2035,21,9,35,max,0.0
2035,21,10,35,min,0.0
2035,21,10,35,max,0.0
2035,21,11,35,min,-0.0
2035,21,11,35,max,0.0
2035,21,12,35,min,-0.0
2035,21,12,35,max,0.0
2035,21,13,35,min,-0.0
2035,21,13,35,max,0.0
2035,21,14,35,min,-0.0
2035,21,14,35,max,0.0
2035,21,15,35,min,3.0132170032398213
2035,21,15,35,max,0.0
2035,21,16,35,min,3.0132170032398213
2035,21,16,35,max,0.0
2035,21,17,35,min,3.0132170032398213
2035,21,17,35,max,0.0
2035,21,18,35,min,3.0132170032398213
2035,21,18,35,max,0.0
2035,21,19,35,min,3.0132170032398213
2035,21,19,35,max,0.0
2035,21,20,35,min,3.0132170032398213
2035,21,20,35,max,0.0
2035,21,21,35,min,3.0132170032398213
2035,21,21,35,max,0.0
2035,21,22,35,min,3.0132170032398213
2035,21,22,35,max,0.0
2035,21,23,35,min,3.0132170032398213
2035,21,23,35,max,0.0
2035,21,24,35,min,3.0132170032398213
2035,21,24,35,max,0.0
2035,21,25,35,min,3.0132170032398213
2035,21,25,35,max,0.0
2035,21,26,35,min,3.0132170032398213
2035,21,26,35,max,0.0
2035,21,27,35,min,3.0132170032398213
2035,21,27,35,max,0.0
2035,21,28,35,min,3.0132170032398213
2035,21,28,35,max,0.0
2035,21,29,35,min,3.0132170032398213
2035,21,29,35,max,0.0
2035,21,30,35,min,3.0132170032398213
2035,21,30,35,max,0.0
2035,21,31,35,min,3.0132170032398213
2035,21,31,35,max,0.0
2035,21,32,35,min,3.0132170032398213
2035,21,32,35,max,0.0
2035,21,33,35,min,3.0132170032398213
2035,21,33,35,max,0.0
2035,21,34,35,min,-0.0
2035,21,34,35,max,0.0
2035,21,35,35,min,-0.0
2035,21,35,35,max,0.0
2035,21,36,35,min,2.3378062786788276
2035,21,36,35,max,0.0
2035,21,37,35,min,2.3378062786788276
2035,21,37,35,max,0.0
2035,21,38,35,min,-0.0
2035,21,38,35,max,0.0
2035,21,39,35,min,-0.0
2035,21,39,35,max,0.0
2035,21,40,35,min,-0.0
2035,21,40,35,max,0.0
2035,21,41,35,min,2.3378062786788276
2035,21,41,35,max,0.0
2035,21,42,35,min,3.0132170032398213
2035,21,42,35,max,0.0
2035,21,43,35,min,3.0132170032398213
2035,21,43,35,max,0.0
2035,21,44,35,min,3.0132170032398213
2035,21,44,35,max,0.0
2035,21,45,35,min,2.3378062786788276
2035,21,45,35,max,0.0
2035,21,46,35,min,2.3378062786788276
2035,21,46,35,max,0.0
2035,21,47,35,min,2.3378062786788276
2035,21,47,35,max,0.0
2035,21,48,35,min,-0.0
2035,21,48,35,max,0.0
2035,21,49,35,min,-0.0
2035,21,49,35,max,0.0
2035,21,50,35,min,-0.0
2035,21,50,35,max,0.0
2035,21,51,35,min,0.0
2035,21,51,35,max,0.0
2035,21,52,35,min,-0.0
2035,21,52,35,max,0.0
2035,21,53,35,min,-0.0
2035,21,53,35,max,0.0
2035,21,54,35,min,-0.0
2035,21,54,35,max,0.0
2035,21,55,35,min,0.0
2035,21,55,35,max,0.0
2035,21,56,35,min,0.0
2035,21,56,35,max,0.0
2035,21,57,35,min,0.0
2035,21,57,35,max,0.0
2035,21,58,35,min,0.0
2035,21,58,35,max,0.0
2035,21,59,35,min,0.0
2035,21,59,35,max,0.0
2035,21,60,35,min,0.0
2035,21,60,35,max,0.0
2035,21,61,35,min,0.0
2035,21,61,35,max,0.0
2035,21,62,35,min,0.0
2035,21,62,35,max,0.0
2035,21,63,35,min,0.0
2035,21,63,35,max,0.0
2035,21,64,35,min,0.0
2035,21,64,35,max,0.0
2035,21,65,35,min,0.0
2035,21,65,35,max,0.0
2035,21,66,35,min,0.0
2035,21,66,35,max,0.0
2035,21,67,35,min,0.0
2035,21,67,35,max,0.0
2035,21,68,35,min,0.0
2035,21,68,35,max,0.0
2035,21,69,35,min,0.0
2035,21,69,35,max,0.0
2035,21,70,35,min,0.0
2035,21,70,35,max,0.0
2035,21,71,35,min,0.0
2035,21,71,35,max,0.0
2035,21,72,35,min,0.0
2035,21,72,35,max,0.0
2035,21,73,35,min,0.0
2035,21,73,35,max,0.0
2035,21,74,35,min,0.0
2035,21,74,35,max,0.0
2035,21,75,35,min,0.0
2035,21,75,35,max,0.0
2035,21,76,35,min,0.0
2035,21,76,35,max,0.0
2035,21,77,35,min,-0.0
2035,21,77,35,max,0.0
2035,21,78,35,min,3.0132170032398213
2035,21,78,35,max,0.0
2035,21,79,35,min,0.0
2035,21,79,35,max,0.0
2035,21,80,35,min,0.0
2035,21,80,35,max,0.0
2035,21,81,35,min,0.0
2035,21,81,35,max,0.0
2035,21,82,35,min,0.0
2035,21,82,35,max,0.0
2035,21,83,35,min,0.0
2035,21,83,35,max,0.0
2035,21,84,35,min,0.0
2035,21,84,35,max,0.0
2035,21,85,35,min,0.0
2035,21,85,35,max,0.0
2035,21,86,35,min,0.0
2035,21,86,35,max,0.0
2035,21,87,35,min,0.0
2035,21,87,35,max,0.0
2035,21,88,35,min,0.0
2035,21,88,35,max,0.0
2035,21,89,35,min,0.0
2035,21,89,35,max,0.0
2035,21,90,35,min,0.0
2035,21,90,35,max,0.0
2035,21,91,35,min,0.0
2035,21,91,35,max,0.0
2035,21,92,35,min,0.0
2035,21,92,35,max,0.0
2035,21,93,35,min,0.0
2035,21,93,35,max,0.0
2035,21,94,35,min,0.0
2035,21,94,35,max,0.0
2035,21,95,35,min,0.0
2035,21,95,35,max,0.0
2035,21,96,35,min,0.0
2035,21,96,35,max,0.0
2035,21,97,35,min,0.0
2035,21,97,35,max,0.0
2035,21,98,35,min,0.0
2035,21,98,35,max,0.0
2035,21,99,35,min,-0.0
2035,21,99,35,max,0.0
2035,21,100,35,min,2.3378062786788276
2035,21,100,35,max,0.0
2035,21,101,35,min,3.0132170032398213
2035,21,101,35,max,0.0
2035,21,102,35,min,3.0132170032398213
2035,21,102,35,max,0.0
2035,21,103,35,min,-0.0
2035,21,103,35,max,0.0
2035,21,104,35,min,0.0
2035,21,104,35,max,0.0
2035,21,105,35,min,0.0
2035,21,105,35,max,0.0
2035,21,106,35,min,0.0
2035,21,106,35,max,0.0
2035,21,107,35,min,0.0
2035,21,107,35,max,0.0
2035,21,108,35,min,0.0
2035,21,108,35,max,0.0
2035,21,109,35,min,0.0
2035,21,109,35,max,0.0
2035,21,110,35,min,0.0
2035,21,110,35,max,0.0
2035,21,111,35,min,0.0
2035,21,111,35,max,0.0
2035,21,112,35,min,0.0
2035,21,112,35,max,0.0
2035,21,113,35,min,0.0
2035,21,113,35,max,0.0
2035,21,114,35,min,-0.0
2035,21,114,35,max,0.0
2035,21,115,35,min,3.0132170032398213
2035,21,115,35,max,0.0
2035,21,116,35,min,3.0132170032398213
2035,21,116,35,max,0.0
2035,21,117,35,min,3.0132170032398213
2035,21,117,35,max,0.0
2035,21,118,35,min,2.3378062786788276
2035,21,118,35,max,0.0
2035,21,119,35,min,2.3378062786788276
2035,21,119,35,max,0.0
2035,21,120,35,min,2.3378062786788276
2035,21,120,35,max,0.0
2035,21,121,35,min,2.3378062786788276
2035,21,121,35,max,0.0
2035,21,122,35,min,2.3378062786788276
2035,21,122,35,max,0.0
2035,21,123,35,min,2.3378062786788276
2035,21,123,35,max,0.0
2035,21,124,35,min,2.3378062786788276
2035,21,124,35,max,0.0
2035,21,125,35,min,2.3378062786788276
2035,21,125,35,max,0.0
2035,21,126,35,min,3.0132170032398213
2035,21,126,35,max,0.0
2035,21,127,35,min,0.0
2035,21,127,35,max,0.0
2035,21,128,35,min,0.0
2035,21,128,35,max,0.0
2035,21,129,35,min,0.0
2035,21,129,35,max,0.0
2035,21,130,35,min,0.0
2035,21,130,35,max,0.0
2035,21,131,35,min,0.0
2035,21,131,35,max,0.0
2035,21,132,35,min,0.0
2035,21,132,35,max,0.0
2035,21,133,35,min,0.0
2035,21,133,35,max,0.0
2035,21,134,35,min,0.0
2035,21,134,35,max,0.0
2035,21,135,35,min,0.0
2035,21,135,35,max,0.0
2035,21,136,35,min,0.0
2035,21,136,35,max,0.0
2035,21,137,35,min,0.0
2035,21,137,35,max,0.0
2035,21,138,35,min,2.3378062786788276
2035,21,138,35,max,0.0
2035,21,139,35,min,3.0132170032398213
2035,21,139,35,max,0.0
2035,21,140,35,min,3.0132170032398213
2035,21,140,35,max,0.0
2035,21,141,35,min,3.0132170032398213
2035,21,141,35,max,0.0
2035,21,142,35,min,3.0132170032398213
2035,21,142,35,max,0.0
2035,21,143,35,min,3.0132170032398213
2035,21,143,35,max,0.0
2035,21,144,35,min,3.0132170032398213
2035,21,144,35,max,0.0
2035,21,145,35,min,3.0132170032398213
2035,21,145,35,max,0.0
2035,21,146,35,min,3.0132170032398213
2035,21,146,35,max,0.0
2035,21,147,35,min,3.0132170032398213
2035,21,147,35,max,0.0
2035,21,148,35,min,3.0132170032398213
2035,21,148,35,max,0.0
2035,21,149,35,min,3.0132170032398213
2035,21,149,35,max,0.0
2035,21,150,35,min,3.0132170032398213
2035,21,150,35,max,0.0
2035,21,151,35,min,3.0132170032398213
2035,21,151,35,max,0.0
2035,21,152,35,min,0.0
