scenario,year,week,hour,branch,bound,dual_value
DE,2040,21,99,100,max,0.0
DE,2040,21,100,100,min,0.0
DE,2040,21,100,100,max,0.0
DE,2040,21,101,100,min,0.0
DE,2040,21,101,100,max,0.0
DE,2040,21,102,100,min,0.0
DE,2040,21,102,100,max,0.0
DE,2040,21,103,100,min,0.0
DE,2040,21,103,100,max,0.0
DE,2040,21,104,100,min,0.0
DE,2040,21,104,100,max,0.0
DE,2040,21,105,100,min,0.0
DE,2040,21,105,100,max,0.0
DE,2040,21,106,100,min,0.0
DE,2040,21,106,100,max,0.0
DE,2040,21,107,100,min,0.0
DE,2040,21,107,100,max,0.0
DE,2040,21,108,100,min,0.0
DE,2040,21,108,100,max,0.0
DE,2040,21,109,100,min,0.0
DE,2040,21,109,100,max,0.0
DE,2040,21,110,100,min,0.0
DE,2040,21,110,100,max,0.0
DE,2040,21,111,100,min,0.0
DE,2040,21,111,100,max,0.0
DE,2040,21,112,100,min,0.0
DE,2040,21,112,100,max,0.0
DE,2040,21,113,100,min,0.0
DE,2040,21,113,100,max,0.0
DE,2040,21,114,100,min,0.0
DE,2040,21,114,100,max,0.0
DE,2040,21,115,100,min,0.0
DE,2040,21,115,100,max,0.0
DE,2040,21,116,100,min,0.0
DE,2040,21,116,100,max,0.0
DE,2040,21,117,100,min,0.0
DE,2040,21,117,100,max,0.0
DE,2040,21,118,100,min,0.0
DE,2040,21,118,100,max,0.0
DE,2040,21,119,100,min,0.0
DE,2040,21,119,100,max,0.0
DE,2040,21,120,100,min,0.0
DE,2040,21,120,100,max,0.0
DE,2040,21,121,100,min,0.0
DE,2040,21,121,100,max,0.0
DE,2040,21,122,100,min,0.0
DE,2040,21,122,100,max,0.0
DE,2040,21,123,100,min,0.0
DE,2040,21,123,100,max,0.0
DE,2040,21,124,100,min,0.0
DE,2040,21,124,100,max,0.0
DE,2040,21,125,100,min,0.0
DE,2040,21,125,100,max,0.0
DE,2040,21,126,100,min,0.0
DE,2040,21,126,100,max,0.0
DE,2040,21,127,100,min,0.0
DE,2040,21,127,100,max,0.0
DE,2040,21,128,100,min,0.0
DE,2040,21,128,100,max,0.0
DE,2040,21,129,100,min,0.0
DE,2040,21,129,100,max,0.0
DE,2040,21,130,100,min,0.0
DE,2040,21,130,100,max,0.0
DE,2040,21,131,100,min,0.0
DE,2040,21,131,100,max,0.0
DE,2040,21,132,100,min,0.0
DE,2040,21,132,100,max,0.0
DE,2040,21,133,100,min,0.0
DE,2040,21,133,100,max,0.0
DE,2040,21,134,100,min,0.0
DE,2040,21,134,100,max,0.0
DE,2040,21,135,100,min,0.0
DE,2040,21,135,100,max,0.0
DE,2040,21,136,100,min,0.0
DE,2040,21,136,100,max,0.0
DE,2040,21,137,100,min,0.0
DE,2040,21,137,100,max,0.0
DE,2040,21,138,100,min,0.0
DE,2040,21,138,100,max,0.0
DE,2040,21,139,100,min,0.0
DE,2040,21,139,100,max,0.0
DE,2040,21,140,100,min,0.0
DE,2040,21,140,100,max,0.0
DE,2040,21,141,100,min,0.0
DE,2040,21,141,100,max,0.0
DE,2040,21,142,100,min,0.0
DE,2040,21,142,100,max,0.0
DE,2040,21,143,100,min,0.0
DE,2040,21,143,100,max,0.0
DE,2040,21,144,100,min,0.0
DE,2040,21,144,100,max,0.0
DE,2040,21,145,100,min,0.0
DE,2040,21,145,100,max,0.0
DE,2040,21,146,100,min,0.0
DE,2040,21,146,100,max,0.0
DE,2040,21,147,100,min,0.0
DE,2040,21,147,100,max,0.0
DE,2040,21,148,100,min,0.0
DE,2040,21,148,100,max,0.0
DE,2040,21,149,100,min,0.0
DE,2040,21,149,100,max,0.0
DE,2040,21,150,100,min,0.0
DE,2040,21,150,100,max,0.0
DE,2040,21,151,100,min,0.0
DE,2040,21,151,100,max,0.0
DE,2040,21,152,100,min,0.0
DE,2040,21,152,100,max,0.0
DE,2040,21,153,100,min,0.0
DE,2040,21,153,100,max,0.0
DE,2040,21,154,100,min,0.0
DE,2040,21,154,100,max,0.0
DE,2040,21,155,100,min,0.0
DE,2040,21,155,100,max,0.0
DE,2040,21,156,100,min,0.0
DE,2040,21,156,100,max,0.0
DE,2040,21,157,100,min,0.0
DE,2040,21,157,100,max,0.0
DE,2040,21,158,100,min,0.0
DE,2040,21,158,100,max,0.0
DE,2040,21,159,100,min,0.0
DE,2040,21,159,100,max,0.0
DE,2040,21,160,100,min,0.0
DE,2040,21,160,100,max,0.0
DE,2040,21,161,100,min,0.0
DE,2040,21,161,100,max,0.0
DE,2040,21,162,100,min,0.0
DE,2040,21,162,100,max,0.0
DE,2040,21,163,100,min,0.0
DE,2040,21,163,100,max,0.0
DE,2040,21,164,100,min,0.0
DE,2040,21,164,100,max,0.0
DE,2040,21,165,100,min,0.0
DE,2040,21,165,100,max,0.0
DE,2040,21,166,100,min,0.0
DE,2040,21,166,100,max,0.0
DE,2040,21,167,100,min,0.0
DE,2040,21,167,100,max,0.0
DE,2040,42,0,100,min,0.0
DE,2040,42,0,100,max,0.0
DE,2040,42,1,100,min,0.0
DE,2040,42,1,100,max,0.0
DE,2040,42,2,100,min,0.0
DE,2040,42,2,100,max,0.0
DE,2040,42,3,100,min,0.0
DE,2040,42,3,100,max,0.0
DE,2040,42,4,100,min,0.0
DE,2040,42,4,100,max,0.0
DE,2040,42,5,100,min,0.0
DE,2040,42,5,100,max,0.0
DE,2040,42,6,100,min,0.0
DE,2040,42,6,100,max,0.0
DE,2040,42,7,100,min,0.0
DE,2040,42,7,100,max,0.0
DE,2040,42,8,100,min,0.0
DE,2040,42,8,100,max,0.0
DE,2040,42,9,100,min,0.0
DE,2040,42,9,100,max,0.0
DE,2040,42,10,100,min,0.0
DE,2040,42,10,100,max,0.0
DE,2040,42,11,100,min,0.0
DE,2040,42,11,100,max,0.0
DE,2040,42,12,100,min,0.0
DE,2040,42,12,100,max,0.0
DE,2040,42,13,100,min,0.0
DE,2040,42,13,100,max,0.0
DE,2040,42,14,100,min,0.0
DE,2040,42,14,100,max,0.0
DE,2040,42,15,100,min,0.0
DE,2040,42,15,100,max,0.0
DE,2040,42,16,100,min,0.0
DE,2040,42,16,100,max,0.0
DE,2040,42,17,100,min,0.0
DE,2040,42,17,100,max,0.0
DE,2040,42,18,100,min,0.0
DE,2040,42,18,100,max,0.0
DE,2040,42,19,100,min,0.0
DE,2040,42,19,100,max,0.0
DE,2040,42,20,100,min,0.0
DE,2040,42,20,100,max,0.0
DE,2040,42,21,100,min,0.0
DE,2040,42,21,100,max,0.0
DE,2040,42,22,100,min,0.0
DE,2040,42,22,100,max,0.0
DE,2040,42,23,100,min,0.0
DE,2040,42,23,100,max,0.0
DE,2040,42,24,100,min,0.0
DE,2040,42,24,100,max,0.0
DE,2040,42,25,100,min,0.0
DE,2040,42,25,100,max,0.0
DE,2040,42,26,100,min,0.0
DE,2040,42,26,100,max,0.0
DE,2040,42,27,100,min,0.0
DE,2040,42,27,100,max,0.0
DE,2040,42,28,100,min,0.0
DE,2040,42,28,100,max,0.0
DE,2040,42,29,100,min,0.0
DE,2040,42,29,100,max,0.0
DE,2040,42,30,100,min,0.0
DE,2040,42,30,100,max,0.0
DE,2040,42,31,100,min,0.0
DE,2040,42,31,100,max,0.0
DE,2040,42,32,100,min,0.0
DE,2040,42,32,100,max,0.0
DE,2040,42,33,100,min,0.0
DE,2040,42,33,100,max,0.0
DE,2040,42,34,100,min,0.0
DE,2040,42,34,100,max,0.0
DE,2040,42,35,100,min,0.0
DE,2040,42,35,100,max,0.0
DE,2040,42,36,100,min,0.0
DE,2040,42,36,100,max,0.0
DE,2040,42,37,100,min,0.0
DE,2040,42,37,100,max,0.0
DE,2040,42,38,100,min,0.0
DE,2040,42,38,100,max,0.0
DE,2040,42,39,100,min,0.0
DE,2040,42,39,100,max,0.0
DE,2040,42,40,100,min,0.0
DE,2040,42,40,100,max,0.0
DE,2040,42,41,100,min,0.0
DE,2040,42,41,100,max,0.0
DE,2040,42,42,100,min,0.0
DE,2040,42,42,100,max,0.0
DE,2040,42,43,100,min,0.0
DE,2040,42,43,100,max,0.0
DE,2040,42,44,100,min,0.0
DE,2040,42,44,100,max,0.0
DE,2040,42,45,100,min,0.0
DE,2040,42,45,100,max,0.0
DE,2040,42,46,100,min,0.0
DE,2040,42,46,100,max,0.0
DE,2040,42,47,100,min,0.0
DE,2040,42,47,100,max,0.0
DE,2040,42,48,100,min,0.0
DE,2040,42,48,100,max,0.0
DE,2040,42,49,100,min,0.0
DE,2040,42,49,100,max,0.0
DE,2040,42,50,100,min,0.0
DE,2040,42,50,100,max,0.0
DE,2040,42,51,100,min,0.0
DE,2040,42,51,100,max,0.0
DE,2040,42,52,100,min,0.0
DE,2040,42,52,100,max,0.0
DE,2040,42,53,100,min,0.0
DE,2040,42,53,100,max,0.0
DE,2040,42,54,100,min,0.0
DE,2040,42,54,100,max,0.0
DE,2040,42,55,100,min,0.0
DE,2040,42,55,100,max,0.0
DE,2040,42,56,100,min,0.0
DE,2040,42,56,100,max,0.0
DE,2040,42,57,100,min,0.0
DE,2040,42,57,100,max,0.0
DE,2040,42,58,100,min,0.0
DE,2040,42,58,100,max,0.0
DE,2040,42,59,100,min,0.0
DE,2040,42,59,100,max,0.0
DE,2040,42,60,100,min,0.0
DE,2040,42,60,100,max,0.0
DE,2040,42,61,100,min,0.0
DE,2040,42,61,100,max,0.0
DE,2040,42,62,100,min,0.0
DE,2040,42,62,100,max,0.0
DE,2040,42,63,100,min,0.0
DE,2040,42,63,100,max,0.0
DE,2040,42,64,100,min,0.0
DE,2040,42,64,100,max,0.0
DE,2040,42,65,100,min,0.0
DE,2040,42,65,100,max,0.0
DE,2040,42,66,100,min,0.0
DE,2040,42,66,100,max,0.0
DE,2040,42,67,100,min,0.0
DE,2040,42,67,100,max,0.0
DE,2040,42,68,100,min,0.0
DE,2040,42,68,100,max,0.0
DE,2040,42,69,100,min,0.0
DE,2040,42,69,100,max,0.0
DE,2040,42,70,100,min,0.0
DE,2040,42,70,100,max,0.0
DE,2040,42,71,100,min,0.0
DE,2040,42,71,100,max,0.0
DE,2040,42,72,100,min,0.0
DE,2040,42,72,100,max,0.0
DE,2040,42,73,100,min,0.0
DE,2040,42,73,100,max,0.0
DE,2040,42,74,100,min,0.0
DE,2040,42,74,100,max,0.0
DE,2040,42,75,100,min,0.0
DE,2040,42,75,100,max,0.0
DE,2040,42,76,100,min,0.0
DE,2040,42,76,100,max,0.0
DE,2040,42,77,100,min,0.0
