generator,value
DK2 0 biomass new,0.0
DK2 0 coal new,0.0
DK2 0 offwind-ac new,0.0
DK2 0 offwind-dc new,0.0
DK2 0 onwind new,0.0
DK2 0 solar new,0.0
EE6 0 CCGT new,0.0
EE6 0 offwind-ac new,0.0
EE6 0 offwind-dc new,0.0
EE6 0 onwind new,0.0
EE6 0 solar new,0.0
ES1 0 CCGT new,0.0
ES1 0 OCGT new,0.0
ES1 0 biomass new,0.0
ES1 0 coal new,0.0
ES1 0 nuclear new,0.0
ES1 0 offwind-ac new,0.0
ES1 0 offwind-dc new,0.0
ES1 0 oil new,0.0
ES1 0 onwind new,0.0
ES1 0 ror new,0.0
ES1 0 solar new,35044.737819116
ES4 0 CCGT new,0.0
ES4 0 coal new,0.0
ES4 0 offwind-ac new,0.0
ES4 0 offwind-dc new,0.0
ES4 0 oil new,0.0
ES4 0 onwind new,0.0
ES4 0 solar new,310.28014701411814
FI2 0 CCGT new,0.0
FI2 0 OCGT new,747.0
FI2 0 biomass new,0.0
FI2 0 coal new,0.0
FI2 0 lignite new,0.0
FI2 0 nuclear new,0.0
FI2 0 offwind-ac new,0.0
FI2 0 offwind-dc new,0.0
FI2 0 oil new,3867.0
FI2 0 onwind new,0.0
FI2 0 ror new,0.0
FI2 0 solar new,0.0
FR1 0 CCGT new,0.0
FR1 0 OCGT new,0.0
FR1 0 biomass new,0.0
FR1 0 coal new,0.0
FR1 0 nuclear new,0.0
FR1 0 offwind-ac new,0.0
FR1 0 offwind-dc new,0.0
FR1 0 oil new,0.0
FR1 0 onwind new,0.0
FR1 0 ror new,0.0
FR1 0 solar new,0.0
GB0 0 CCGT new,0.0
GB0 0 OCGT new,0.0
GB0 0 biomass new,0.0
GB0 0 coal new,0.0
GB0 0 nuclear new,0.0
GB0 0 offwind-ac new,0.0
GB0 0 offwind-dc new,0.0
GB0 0 oil new,0.0
GB0 0 onwind new,0.0
GB0 0 ror new,0.0
GB0 0 solar new,0.0
GB5 0 CCGT new,0.0
GB5 0 biomass new,0.0
GB5 0 coal new,0.0
GB5 0 offwind-ac new,0.0
GB5 0 offwind-dc new,0.0
GB5 0 onwind new,0.0
GB5 0 solar new,0.0
GR1 0 CCGT new,0.0
GR1 0 lignite new,0.0
GR1 0 offwind-ac new,0.0
GR1 0 offwind-dc new,0.0
GR1 0 oil new,0.0
GR1 0 onwind new,0.0
GR1 0 ror new,0.0
GR1 0 solar new,9741.0
HR1 0 CCGT new,0.0
HR1 0 OCGT new,0.0
HR1 0 offwind-ac new,0.0
HR1 0 offwind-dc new,0.0
HR1 0 onwind new,0.0
HR1 0 ror new,0.0
HR1 0 solar new,254.4
HU1 0 CCGT new,0.0
HU1 0 OCGT new,0.0
HU1 0 biomass new,132.3
HU1 0 coal new,0.0
HU1 0 lignite new,0.0
HU1 0 nuclear new,0.0
HU1 0 oil new,0.0
HU1 0 onwind new,0.0
HU1 0 ror new,0.0
HU1 0 solar new,5859.0
IE5 0 CCGT new,0.0
IE5 0 coal new,0.0
IE5 0 lignite new,0.0
IE5 0 offwind-ac new,0.0
IE5 0 offwind-dc new,0.0
IE5 0 oil new,0.0
IE5 0 onwind new,0.0
IE5 0 ror new,0.0
IE5 0 solar new,0.0
IT1 0 CCGT new,0.0
IT1 0 OCGT new,0.0
IT1 0 biomass new,875.1401580842261
IT1 0 coal new,0.0
IT1 0 offwind-ac new,0.0
IT1 0 offwind-dc new,0.0
IT1 0 onwind new,0.0
IT1 0 ror new,0.0
IT1 0 solar new,61492.33731335228
IT3 0 CCGT new,112.94893128776486
IT3 0 coal new,0.0
IT3 0 offwind-ac new,0.0
IT3 0 oil new,450.0
IT3 0 onwind new,0.0
IT3 0 ror new,0.0
IT3 0 solar new,1665.3541591197481
LT6 0 CCGT new,0.0
LT6 0 OCGT new,204.0
LT6 0 offwind-ac new,0.0
LT6 0 offwind-dc new,0.0
LT6 0 onwind new,0.0
LT6 0 ror new,0.0
LT6 0 solar new,0.0
LU1 0 biomass new,0.0
LU1 0 onwind new,0.0
LU1 0 ror new,92.7
LU1 0 solar new,0.0
LV6 0 CCGT new,496.9481701972303
LV6 0 offwind-ac new,0.0
LV6 0 offwind-dc new,0.0
LV6 0 onwind new,0.0
LV6 0 ror new,0.0
LV6 0 solar new,0.0
ME1 0 lignite new,0.0
ME1 0 offwind-ac new,0.0
ME1 0 onwind new,0.0
ME1 0 ror new,0.0
ME1 0 solar new,18.66
MK1 0 onwind new,0.0
MK1 0 solar new,283.08
NL1 0 CCGT new,0.0
NL1 0 OCGT new,0.0
NL1 0 coal new,0.0
NL1 0 nuclear new,0.0
NL1 0 offwind-ac new,0.0
NL1 0 offwind-dc new,0.0
NL1 0 oil new,0.0
NL1 0 onwind new,12300.0
NL1 0 solar new,0.0
NO2 0 CCGT new,1914.0
NO2 0 offwind-ac new,77829.38318272748
NO2 0 offwind-dc new,0.8335035140833738
NO2 0 onwind new,9606.013179271024
NO2 0 ror new,631.5
NO2 0 solar new,0.0
PL1 0 CCGT new,0.0
PL1 0 coal new,0.0
PL1 0 lignite new,0.0
PL1 0 offwind-ac new,0.0
PL1 0 offwind-dc new,0.0
PL1 0 oil new,0.0
PL1 0 onwind new,0.0
PL1 0 ror new,0.0
PL1 0 solar new,368.2939818066905
PT1 0 CCGT new,0.0
PT1 0 OCGT new,0.0
PT1 0 offwind-ac new,0.0
PT1 0 onwind new,0.0
PT1 0 ror new,0.0
PT1 0 solar new,3076.32
RO1 0 CCGT new,0.0
RO1 0 OCGT new,0.0
RO1 0 coal new,0.0
RO1 0 lignite new,0.0
RO1 0 nuclear new,0.0
RO1 0 offwind-ac new,0.0
RO1 0 offwind-dc new,0.0
RO1 0 onwind new,0.0
RO1 0 ror new,0.0
RO1 0 solar new,4160.129999999999
RS1 0 CCGT new,0.0
RS1 0 OCGT new,0.0
RS1 0 lignite new,0.0
RS1 0 onwind new,0.0
RS1 0 ror new,0.0
RS1 0 solar new,86.02112552484249
SE2 0 CCGT new,2718.0
SE2 0 OCGT new,1401.0
SE2 0 biomass new,0.0
SE2 0 nuclear new,0.0
SE2 0 offwind-ac new,0.0
SE2 0 offwind-dc new,0.0
SE2 0 onwind new,0.0
SE2 0 ror new,0.0
SE2 0 solar new,0.0
SI1 0 CCGT new,0.0
SI1 0 lignite new,0.0
SI1 0 nuclear new,0.0
SI1 0 offwind-ac new,0.0
SI1 0 onwind new,0.0
SI1 0 ror new,0.0
SI1 0 solar new,800.4300000000001
SK1 0 CCGT new,0.0
SK1 0 OCGT new,0.0
SK1 0 coal new,0.0
SK1 0 lignite new,0.0
SK1 0 nuclear new,0.0
SK1 0 onwind new,0.0
SK1 0 ror new,0.0
SK1 0 solar new,1778.7
