generator,week,value
ES1 0 ror,10,147.00824749999998
ES1 0 ror,11,147.00824749999995
ES1 0 ror,12,147.00824749999998
ES1 0 ror,13,147.00824749999998
ES1 0 ror,14,147.00824749999998
ES1 0 ror,15,147.00824749999998
ES1 0 ror,16,147.0082475
ES1 0 ror,17,147.00824749999995
ES1 0 ror,18,147.00824749999998
ES1 0 ror,19,147.00824749999995
ES1 0 ror,20,147.00824749999998
ES1 0 ror,21,147.00824749999995
ES1 0 ror,22,147.0082475
ES1 0 ror,23,147.00824749999998
ES1 0 ror,24,147.00824749999998
ES1 0 ror,25,147.0082475
ES1 0 ror,26,147.0082475
ES1 0 ror,27,147.00824749999998
ES1 0 ror,28,147.00824749999998
ES1 0 ror,29,147.00824749999998
ES1 0 ror,30,147.0082475
ES1 0 ror,31,147.0082475
ES1 0 ror,32,147.00824749999998
ES1 0 ror,33,147.00824749999998
ES1 0 ror,34,147.00824749999998
ES1 0 ror,35,147.0082475
ES1 0 ror,36,147.00824749999998
ES1 0 ror,37,147.00824749999998
ES1 0 ror,38,147.00824749999998
ES1 0 ror,39,147.00824749999998
ES1 0 ror,40,147.0082475
ES1 0 ror,41,147.00824749999998
ES1 0 ror,42,147.00824749999998
ES1 0 ror,43,147.00824749999998
ES1 0 ror,44,147.0082475
ES1 0 ror,45,147.00824749999998
ES1 0 ror,46,147.00824749999998
ES1 0 ror,47,147.00824749999998
ES1 0 ror,48,147.00824749999995
ES1 0 ror,49,147.00824749999998
ES1 0 ror,50,147.00824749999998
ES1 0 ror,51,147.0082475
ES1 0 ror,52,147.00824749999998
ES1 0 ror,53,147.0082475
ES1 0 solar,1,11681.579273038671
ES1 0 solar,2,11681.579273038667
ES1 0 solar,3,11681.579273038667
ES1 0 solar,4,11681.579273038666
ES1 0 solar,5,11681.57927303867
ES1 0 solar,6,11681.57927303867
ES1 0 solar,7,11681.579273038667
ES1 0 solar,8,11681.579273038666
ES1 0 solar,9,11681.579273038667
ES1 0 solar,10,11681.579273038664
ES1 0 solar,11,11681.579273038667
ES1 0 solar,12,11681.579273038667
ES1 0 solar,13,11681.579273038667
ES1 0 solar,14,11681.579273038666
ES1 0 solar,15,11681.579273038666
ES1 0 solar,16,11681.579273038667
ES1 0 solar,17,11681.579273038667
ES1 0 solar,18,11681.579273038667
ES1 0 solar,19,11681.579273038667
ES1 0 solar,20,11681.579273038667
ES1 0 solar,21,11681.57927303867
ES1 0 solar,22,11681.579273038667
ES1 0 solar,23,11681.579273038667
ES1 0 solar,24,11681.579273038667
ES1 0 solar,25,11681.579273038666
