year,hour,ES1 0 CCGT,ES1 0 CCGT new,ES1 0 coal,ES1 0 coal new,ES1 0 offwind-ac,ES1 0 offwind-ac new,ES1 0 onwind,ES1 0 onwind new,ES1 0 ror,ES1 0 ror new,ES1 0 solar,ES1 0 solar new,PT1 0 CCGT,PT1 0 CCGT new,PT1 0 offwind-ac,PT1 0 offwind-ac new,PT1 0 onwind,PT1 0 onwind new,PT1 0 ror,PT1 0 ror new,PT1 0 solar,PT1 0 solar new
2045,7372,0.0,0.0,0.0,0.0,3774.4142403630826,0.0,10132.86970769208,35869.11195564819,19.755852372498843,0.0,0.0,0.0,4145.0,12053.984917745787,967.9704192734985,0.0,1033.8905076652122,3547.7952287372595,697.4066818059997,0.0,0.0,0.0
2045,7373,0.0,0.0,0.0,0.0,3710.524043462055,0.0,11177.816602283068,39568.09538591358,20.099610436306016,0.0,0.0,0.0,0.0,17679.82930369938,1194.702054851675,0.0,1247.4699339193116,4280.693019947177,699.1049752862328,0.0,0.0,0.0
2045,7374,0.0,0.0,3062.6655000501705,0.0,3959.116977100516,0.0,12220.891012183938,43260.45045077779,20.493455479549294,0.0,0.0,0.0,0.0,20013.310048744584,1261.763428267054,0.0,1405.2881580559358,4822.24624869682,692.691288694192,0.0,0.0,0.0
2045,7375,625.2715350544386,0.0,4739.393482733913,0.0,4008.2759562638994,0.0,13037.290868569622,46150.40548760645,21.185568521381136,0.0,158.5518178857756,951.3109073146536,4145.0,16570.403214392514,1352.0861540560122,0.0,1682.367687411246,5773.044640731047,685.3974758677726,0.0,0.0,0.0
2045,7376,0.0,0.0,0.0,0.0,3810.0485762333783,0.0,13559.230638978197,47998.00805222628,22.0437533481116,0.0,1949.470751835125,11696.824511010751,4145.0,12879.25588034105,1500.0621394884906,0.0,1963.446182945313,6737.565485020798,681.7680737942713,0.0,81.70590776893704,490.23544661362223
2045,7377,0.0,0.0,0.0,0.0,3891.8102990630177,0.0,14010.039226058929,49593.814980276606,23.192127857030144,0.0,2731.451196210997,16388.707177265984,4145.0,6917.981285239829,1645.0604649982972,0.0,2238.8135237320294,7682.4885020619095,681.7583445145722,0.0,151.8686971431299,911.2121828587794
2045,7378,0.0,0.0,0.0,0.0,4056.906971405595,0.0,15395.248991371634,54248.4476366548,24.39963627160203,0.0,3399.6010267417573,20397.60616045054,0.0,0.0,1878.8935955875813,0.0,2606.355753928524,8943.709647805146,689.5874856163064,0.0,208.67826641002577,1252.0695984601546
2045,7379,0.0,0.0,0.0,0.0,4500.674872742835,0.0,17664.47503555883,46518.7685482326,25.620179706935087,0.0,3454.1105719633706,20724.663431780224,0.0,0.0,2168.768765234235,0.0,3739.294315500255,12831.388268893897,701.257001787509,0.0,241.64750928963,1449.88505573778
2045,7380,0.0,0.0,0.0,0.0,4787.213934001944,0.0,18988.01901614215,47915.94889650556,26.81637417305899,0.0,3333.3509698778253,20000.10581926695,0.0,0.0,2362.2852065955,0.0,3821.553075953451,13113.65920154491,711.0088995832424,0.0,238.52498565038732,1431.149913902324
2045,7381,0.0,0.0,0.0,0.0,5040.202769739005,0.0,20396.413244198553,49791.789051108455,27.997185264763424,0.0,2918.4546622857847,17510.72797371471,0.0,0.0,2345.675753366156,0.0,3659.464747483098,12557.45310997363,720.8941646420687,0.0,206.21381799784427,1237.2829079870658
2045,7382,0.0,0.0,0.0,0.0,5317.835294533498,0.0,20778.726784908325,44864.579904238286,28.88914959540126,0.0,2384.6251258015086,14307.750754809053,0.0,0.0,2338.7435825685516,0.0,3564.749603502125,12232.438097829163,729.852186244771,0.0,160.75412432399366,964.5247459439621
2045,7383,0.0,0.0,0.0,0.0,5421.837783007788,0.0,20511.54749462338,50262.09278209726,29.508998437100303,0.0,1693.185478279389,10159.112869676334,0.0,0.0,2271.53645835195,0.0,3398.3974617192816,11661.600731075327,736.6055252893605,0.0,123.23868047432147,739.4320828459288
2045,7384,0.0,0.0,0.0,0.0,0.0,0.0,17197.178041934054,70593.70567411298,29.95029423285538,0.0,617.5760708252915,3705.456424951749,0.0,0.0,2146.5466997999056,0.0,2933.8713346297973,10067.579347676061,739.9399779726543,0.0,58.431793490617245,350.59076094370346
2045,7385,0.0,0.0,0.0,0.0,4962.015569340927,0.0,19039.224648260373,67396.51255347424,30.213070837780933,0.0,0.0,0.0,0.0,11291.823501928378,2093.7643107129893,0.0,2301.033616626404,7895.996747921279,742.5492158579116,0.0,0.12232008652102097,0.7339205191261258
2045,7386,0.0,0.0,0.0,0.0,4778.160510139152,0.0,18382.949437725547,65073.379060252606,30.371074037985995,0.0,0.0,0.0,0.0,19085.861531735805,1780.092626729611,0.0,1869.1093194008972,6413.848542176699,744.725989699365,0.0,0.0,0.0
2045,7387,0.0,0.0,0.0,0.0,4761.983671727127,0.0,17830.863346893675,63119.062230719916,30.636608482182965,0.0,0.0,0.0,0.0,19102.108284322607,1458.0620012714749,0.0,1585.069995353752,5439.167614982686,746.795339747922,0.0,0.0,0.0
